sampleID,Butyric spores,Coag pos Staph,E coli,Enterobacteriaceae,Enterococci,Fac heteroferm,L monocytogenes,Lactobacilli,Mesophilic aerobic total,Moulds,PAB,Salmonella spp,Salt tolerant,Spores,Streptococci,Yeasts
EH_301_cheese_60d,2.724275869600789,2.0,3.041392685158225,3.278753600952829,4.778151250383644,7.146128035678238,0.0,7.204119982655925,6.176091259055681,4.079181246047625,2.0,0.0,5.342422680822207,2.724275869600789,6.913813852383717,3.301029995663981
EH_302_cheese_60d,2.724275869600789,2.0,1.0,5.698970004336019,5.113943352306837,4.90848501887865,0.0,3.89209460269048,6.176091259055681,4.278753600952829,2.0,0.0,5.146128035678238,2.724275869600789,7.812913356642856,3.255272505103306
EH_303_cheese_60d,2.724275869600789,2.0,4.079181246047625,4.698970004336019,5.869231719730976,6.903089986991944,0.0,6.698970004336019,5.531478917042255,4.278753600952829,2.0,0.0,5.986771734266245,2.724275869600789,7.897627091290442,3.0
EH_304_cheese_60d,2.724275869600789,2.0,3.477121254719663,4.041392685158225,6.041392685158225,7.230448921378274,0.0,6.602059991327963,5.755874855672491,4.544068044350276,2.0,0.0,6.176091259055681,2.724275869600789,7.819543935541868,3.0
EH_305_cheese_60d,2.724275869600789,2.0,3.113943352306837,5.113943352306837,5.740362689494244,7.041392685158225,0.0,7.113943352306837,6.176091259055681,4.380211241711606,2.0,0.0,5.380211241711606,2.724275869600789,7.770852011642144,3.176091259055681
EH_306_cheese_60d,2.724275869600789,2.0,3.672097857935718,4.301029995663981,5.176091259055681,6.845098040014257,0.0,7.146128035678238,6.176091259055681,3.903089986991944,2.0,0.0,5.278753600952829,2.724275869600789,7.924279286061882,2.0
EH_307_cheese_60d,2.724275869600789,2.0,4.380211241711606,5.342422680822207,6.146128035678238,6.698970004336019,0.0,7.32221929473392,5.568201724066995,4.301029995663981,2.0,0.0,6.0,2.724275869600789,7.924279286061882,3.0
EH_308_cheese_60d,2.724275869600789,2.0,4.342422680822207,4.414973347970818,5.778151250383644,6.698970004336019,0.0,7.255272505103306,6.176091259055681,4.623249290397901,2.778151250383643,0.0,5.633468455579586,2.724275869600789,7.792391689498254,3.301029995663981
EH_309_cheese_60d,2.724275869600789,2.0,3.113943352306837,3.041392685158225,4.755874855672491,6.903089986991944,0.0,6.903089986991944,6.176091259055681,4.99563519459755,2.0,0.0,5.977723605288848,2.724275869600789,6.643452676486188,3.602059991327963
EH_310_cheese_60d,2.724275869600789,2.0,1.0,3.0,3.0,4.204119982655925,0.0,3.944482672150169,6.176091259055681,5.5910646070265,2.0,0.0,5.785329835010767,2.724275869600789,5.301029995663981,4.113943352306837
EH_311_cheese_60d,2.724275869600789,2.0,3.740362689494244,3.785329835010767,5.531478917042255,6.602059991327963,0.0,7.079181246047625,6.176091259055681,4.544068044350276,2.0,0.0,5.812913356642856,2.724275869600789,7.892094602690481,3.0
EH_312_cheese_60d,2.724275869600789,2.0,3.698970004336019,4.176091259055681,6.230448921378274,6.698970004336019,0.0,6.778151250383644,5.301029995663981,4.672097857935717,2.0,0.0,6.176091259055681,2.724275869600789,7.505149978319906,3.845098040014257
EH_313_cheese_60d,2.724275869600789,2.0,3.863322860120456,3.903089986991944,4.845098040014257,6.903089986991944,0.0,6.778151250383644,6.176091259055681,3.204119982655925,2.0,0.0,5.361727836017593,2.724275869600789,7.57978359661681,3.079181246047625
EH_314_cheese_60d,2.724275869600789,2.0,3.113943352306837,3.230448921378274,3.973127853599699,6.903089986991944,0.0,7.0,6.176091259055681,4.342422680822207,2.0,0.0,5.57978359661681,2.724275869600789,7.544068044350276,3.477121254719663
EH_315_cheese_60d,2.724275869600789,2.0,3.949390006644913,5.041392685158225,4.886490725172482,7.230448921378274,0.0,6.954242509439325,5.897627091290442,4.204119982655925,2.0,0.0,5.903089986991944,2.724275869600789,7.57978359661681,3.255272505103306
EH_316_cheese_60d,2.724275869600789,2.0,3.944482672150169,3.944482672150169,4.845098040014257,6.845098040014257,0.0,6.778151250383644,6.176091259055681,4.755874855672491,2.0,0.0,6.113943352306837,2.724275869600789,7.612783856719735,3.681241237375587
